기간	자치구	동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상+
2020.2/4	중구	회현동	한국인	5,203	83	119	99	108	213	300	289	274	299	376	437	563	592	466	318	256	186	97	63	22	43
2020.2/4	중구	회현동	외국인	611	16	22	21	23	23	28	43	70	64	66	49	68	47	38	13	11	4	4	1	-	-
2020.2/4	중구	명동	계	3,693	44	92	81	111	188	291	270	284	261	308	329	313	330	259	193	156	92	54	21	7	9
2020.2/4	중구	명동	한국인	2,992	31	60	63	90	131	224	191	203	194	245	256	257	294	238	185	151	90	52	21	7	9
2020.2/4	중구	명동	외국인	701	13	32	18	21	57	67	79	81	67	63	73	56	36	21	8	5	2	2	-	-	-
2020.2/4	중구	필동	계	4,837	95	114	75	147	737	566	384	337	241	279	322	327	366	255	185	171	102	75	37	13	9
2020.2/4	중구	필동	한국인	3,982	84	112	74	111	343	354	308	298	222	266	309	302	357	252	185	171	101	74	37	13	9
2020.2/4	중구	필동	외국인	855	11	2	1	36	394	212	76	39	19	13	13	25	9	3	-	-	1	1	-	-	-
2020.2/4	중구	장충동	계	5,528	106	111	131	247	949	774	404	358	289	381	328	331	297	233	200	180	123	51	25	7	3
2020.2/4	중구	장충동	한국인	4,697	91	98	117	220	650	576	351	316	256	333	308	294	277	224	200	178	122	51	25	7	3
2020.2/4	중구	장충동	외국인	831	15	13	14	27	299	198	53	42	33	48	20	37	20	9	-	2	1	-	-	-	-
2020.2/4	중구	광희동	계	6,463	94	104	101	155	633	678	584	492	379	422	467	614	523	406	311	236	147	63	32	7	15
2020.2/4	중구	광희동	한국인	5,034	67	75	93	112	306	455	421	353	292	329	387	491	470	388	303	233	144	63	30	7	15
2020.2/4	중구	광희동	외국인	1,429	27	29	8	43	327	223	163	139	87	93	80	123	53	18	8	3	3	-	2	-	-
2020.2/4	중구	을지로동	계	1,993	28	30	22	23	105	168	184	134	104	108	155	210	212	198	121	82	59	19	17	4	10
2020.2/4	중구	을지로동	한국인	1,817	28	26	18	17	65	141	169	113	91	104	146	196	206	191	118	81	57	19	17	4	10
2020.2/4	중구	을지로동	외국인	176	-	4	4	6	40	27	15	21	13	4	9	14	6	7	3	1	2	-	-	-	-
2020.2/4	중구	신당5동	계	11,002	290	344	246	354	724	1,039	964	892	766	876	992	959	774	553	454	386	222	108	38	9	12
2020.2/4	중구	신당5동	한국인	10,644	282	335	244	348	666	988	917	863	748	854	964	916	750	548	448	384	222	108	38	9	12
2020.2/4	중구	신당5동	외국인	358	8	9	2	6	58	51	47	29	18	22	28	43	24	5	6	2	-	-	-	-	-
2020.2/4	중구	황학동	계	13,721	478	367	251	319	889	1,497	1,621	1,466	997	971	1,001	1,000	894	679	502	393	211	128	36	13	8
2020.2/4	중구	황학동	한국인	12,712	433	326	227	304	744	1,391	1,493	1,382	937	909	912	886	825	663	496	391	208	128	36	13	8
2020.2/4	중구	황학동	외국인	1,009	45	41	24	15	145	106	128	84	60	62	89	114	69	16	6	2	3	-	-	-	-
2020.2/4	중구	중림동	계	12,896	617	468	353	426	673	878	1,114	1,300	1,086	1,025	1,015	1,045	822	623	522	411	281	136	49	21	31
2020.2/4	중구	중림동	한국인	12,577	605	454	349	425	651	846	1,071	1,253	1,060	992	995	1,014	810	615	516	408	279	133	49	21	31
2020.2/4	중구	중림동	외국인	319	12	14	4	1	22	32	43	47	26	33	20	31	12	8	6	3	2	3	-	-	-
2020.2/4	중구	신당동	계	9,206	182	147	136	227	834	1,022	813	725	574	710	853	891	690	427	362	302	159	89	43	12	8
2020.2/4	중구	신당동	한국인	7,567	143	122	116	183	490	820	674	603	490	596	695	682	592	411	350	294	158	87	42	11	8
2020.2/4	중구	신당동	외국인	1,639	39	25	20	44	344	202	139	122	84	114	158	209	98	16	12	8	1	2	1	1	-
2020.2/4	중구	다산동	계	14,956	284	335	375	531	1,158	1,481	1,238	1,158	977	1,211	1,215	1,214	1,138	807	649	600	354	140	63	15	13
2020.2/4	중구	다산동	한국인	14,454	276	324	366	512	1,043	1,377	1,194	1,116	949	1,178	1,186	1,179	1,122	804	646	597	354	140	63	15	13
2020.2/4	중구	다산동	외국인	502	8	11	9	19	115	104	44	42	28	33	29	35	16	3	3	3	-	-	-	-	-
2020.2/4	중구	약수동	계	17,579	540	652	497	540	926	1,166	1,154	1,392	1,243	1,326	1,427	1,508	1,501	1,123	907	741	534	246	120	27	9
2020.2/4	중구	약수동	한국인	17,377	536	640	484	531	914	1,157	1,125	1,373	1,219	1,306	1,407	1,495	1,492	1,118	905	740	533	246	120	27	9
2020.2/4	중구	약수동	외국인	202	4	12	13	9	12	9	29	19	24	20	20	13	9	5	2	1	1	-	-	-	-
2020.2/4	중구	청구동	계	14,354	382	429	408	531	878	1,199	1,181	1,096	946	1,112	1,199	1,217	1,133	780	616	557	385	206	66	25	8
2020.2/4	중구	청구동	한국인	14,150	369	424	402	528	841	1,178	1,151	1,081	928	1,094	1,187	1,199	1,126	780	616	556	385	206	66	25	8
2020.2/4	중구	청구동	외국인	204	13	5	6	3	37	21	30	15	18	18	12	18	7	-	-	1	-	-	-	-	-
2020.2/4	중구	동화동	계	10,943	368	423	403	479	663	862	645	769	787	899	983	1,015	835	560	418	353	264	143	45	15	14
2020.2/4	중구	동화동	한국인	10,783	358	416	400	478	649	843	622	751	773	892	972	995	826	558	416	353	264	143	45	15	14
2020.2/4	중구	동화동	외국인	160	10	7	3	1	14	19	23	18	14	7	11	20	9	2	2	-	-	-	-	-	-
2020.2/4	용산구	소계	계	245,362	7,143	8,122	7,810	9,209	14,930	21,265	21,007	21,347	18,458	20,667	19,872	18,920	16,962	11,900	9,435	7,949	5,610	2,801	1,169	421	365
2020.2/4	용산구	소계	한국인	229,431	6,581	7,330	7,212	8,752	13,806	19,461	18,872	19,252	16,704	19,230	18,709	17,949	16,408	11,642	9,307	7,895	5,583	2,793	1,165	417	363
2020.2/4	용산구	소계	외국인	15,931	562	792	598	457	1,124	1,804	2,135	2,095	1,754	1,437	1,163	971	554	258	128	54	27	8	4	4	2
2020.2/4	용산구	후암동	계	18,354	481	584	590	757	1,096	1,570	1,436	1,539	1,309	1,585	1,516	1,521	1,297	968	752	602	412	177	92	41	29
2020.2/4	용산구	후암동	한국인	17,807	465	568	576	745	1,060	1,544	1,377	1,464	1,248	1,531	1,473	1,459	1,257	949	745	600	409	176	92	40	29
2020.2/4	용산구	후암동	외국인	547	16	16	14	12	36	26	59	75	61	54	43	62	40	19	7	2	3	1	-	1	-
2020.2/4	용산구	용산2가동	계	11,626	240	247	275	375	704	1,219	1,189	1,066	803	880	818	804	896	616	520	415	314	137	65	21	22
2020.2/4	용산구	용산2가동	한국인	10,247	203	211	244	349	588	989	921	874	660	779	735	752	863	596	514	413	311	137	65	21	22
2020.2/4	용산구	용산2가동	외국인	1,379	37	36	31	26	116	230	268	192	143	101	83	52	33	20	6	2	3	-	-	-	-
2020.2/4	용산구	남영동	계	8,268	123	122	113	177	424	653	628	530	519	713	877	931	826	547	412	294	191	90	42	23	33
2020.2/4	용산구	남영동	한국인	7,736	112	109	100	164	380	590	569	472	475	667	815	877	792	538	410	290	189	90	42	23	32
2020.2/4	용산구	남영동	외국인	532	11	13	13	13	44	63	59	58	44	46	62	54	34	9	2	4	2	-	-	-	1
2020.2/4	용산구	원효로2동	계	14,491	432	538	578	730	855	1,062	1,011	1,120	1,117	1,296	1,219	1,144	993	723	606	442	355	184	54	19	13
2020.2/4	용산구	원효로2동	한국인	14,338	428	533	575	729	851	1,045	987	1,101	1,098	1,279	1,206	1,129	983	723	606	441	355	183	54	19	13
2020.2/4	용산구	원효로2동	외국인	153	4	5	3	1	4	17	24	19	19	17	13	15	10	-	-	1	-	1	-	-	-
2020.2/4	용산구	효창동	계	10,387	411	386	350	451	673	957	928	970	733	865	856	730	624	408	347	297	226	105	43	14	13
2020.2/4	용산구	효창동	한국인	10,259	406	382	347	448	662	942	901	952	727	855	846	723	619	406	347	296	225	105	43	14	13
2020.2/4	용산구	효창동	외국인	128	5	4	3	3	11	15	27	18	6	10	10	7	5	2	-	1	1	-	-	-	-
2020.2/4	용산구	용문동	계	12,510	403	405	386	498	817	1,051	1,010	1,070	884	1,021	1,050	974	863	668	524	432	268	105	52	15	14
2020.2/4	용산구	용문동	한국인	12,380	402	402	382	492	809	1,039	993	1,060	865	1,013	1,026	965	858	666	524	431	267	105	52	15	14
2020.2/4	용산구	용문동	외국인	130	1	3	4	6	8	12	17	10	19	8	24	9	5	2	-	1	1	-	-	-	-
2020.2/4	용산구	이촌1동	계	29,329	1,244	1,757	1,622	1,453	1,541	1,509	1,633	2,311	2,461	2,844	2,580	2,034	1,813	1,200	979	905	735	445	180	49	34
2020.2/4	용산구	이촌1동	한국인	28,486	1,198	1,667	1,548	1,428	1,527	1,500	1,590	2,218	2,335	2,727	2,511	1,987	1,769	1,172	969	902	731	444	180	49	34
2020.2/4	용산구	이촌1동	외국인	843	46	90	74	25	14	9	43	93	126	117	69	47	44	28	10	3	4	1	-	-	-
2020.2/4	용산구	이촌2동	계	8,887	325	250	250	273	449	570	705	834	612	645	696	727	773	554	417	362	244	126	46	14	15
2020.2/4	용산구	이촌2동	한국인	8,793	323	243	242	270	448	566	698	822	598	638	689	716	769	550	414	362	244	126	46	14	15
2020.2/4	용산구	이촌2동	외국인	94	2	7	8	3	1	4	7	12	14	7	7	11	4	4	3	-	-	-	-	-	-
2020.2/4	용산구	이태원1동	계	9,153	179	185	183	229	624	1,107	966	840	676	628	612	699	611	492	337	315	239	133	55	21	22
2020.2/4	용산구	이태원1동	한국인	6,899	125	130	122	181	359	665	588	529	455	462	504	623	582	474	325	310	237	133	53	20	22
2020.2/4	용산구	이태원1동	외국인	2,254	54	55	61	48	265	442	378	311	221	166	108	76	29	18	12	5	2	-	2	1	-
2020.2/4	용산구	이태원2동	계	10,826	283	319	279	329	597	1,042	1,093	1,055	834	902	728	730	723	513	448	433	285	137	63	19	14
2020.2/4	용산구	이태원2동	한국인	9,283	217	232	228	288	513	865	865	817	664	751	630	654	689	492	433	428	285	136	63	19	14
2020.2/4	용산구	이태원2동	외국인	1,543	66	87	51	41	84	177	228	238	170	151	98	76	34	21	15	5	-	1	-	-	-
2020.2/4	용산구	서빙고동	계	14,143	345	569	726	904	978	892	763	921	1,190	1,525	1,319	1,045	862	576	428	405	394	207	74	14	6
2020.2/4	용산구	서빙고동	한국인	13,349	306	505	674	861	954	858	713	817	1,083	1,455	1,228	990	833	562	417	398	394	207	74	14	6
2020.2/4	용산구	서빙고동	외국인	794	39	64	52	43	24	34	50	104	107	70	91	55	29	14	11	7	-	-	-	-	-
2020.2/4	용산구	보광동	계	16,023	275	318	342	509	1,051	1,696	1,377	1,321	1,098	1,352	1,332	1,371	1,193	836	709	559	371	193	61	37	22
2020.2/4	용산구	보광동	한국인	14,293	215	254	318	491	880	1,383	1,078	1,080	902	1,218	1,249	1,290	1,165	825	707	556	371	193	60	36	22
2020.2/4	용산구	보광동	외국인	1,730	60	64	24	18	171	313	299	241	196	134	83	81	28	11	2	3	-	-	1	1	-
2020.2/4	용산구	청파동	계	20,664	335	416	487	763	2,009	2,465	1,880	1,454	1,286	1,596	1,622	1,590	1,397	1,006	803	757	463	198	71	31	35
2020.2/4	용산구	청파동	한국인	19,917	323	408	478	744	1,846	2,339	1,772	1,403	1,251	1,557	1,584	1,513	1,359	996	795	754	462	197	71	31	34
2020.2/4	용산구	청파동	외국인	747	12	8	9	19	163	126	108	51	35	39	38	77	38	10	8	3	1	1	-	-	1
2020.2/4	용산구	원효로1동	계	16,792	760	710	446	466	910	1,603	1,969	1,910	1,455	1,310	1,150	1,138	971	689	462	387	237	124	52	25	18
2020.2/4	용산구	원효로1동	한국인	16,140	724	668	423	449	881	1,550	1,886	1,820	1,394	1,249	1,091	1,102	940	673	453	384	235	123	52	25	18
2020.2/4	용산구	원효로1동	외국인	652	36	42	23	17	29	53	83	90	61	61	59	36	31	16	9	3	2	1	-	-	-
2020.2/4	용산구	한강로동	계	19,940	600	548	511	556	1,075	1,862	2,122	1,882	1,476	1,506	1,657	1,628	1,432	919	769	602	397	217	100	39	42
2020.2/4	용산구	한강로동	한국인	18,321	515	418	420	491	1,037	1,799	1,986	1,682	1,259	1,324	1,529	1,504	1,347	886	744	591	394	216	99	38	42
2020.2/4	용산구	한강로동	외국인	1,619	85	130	91	65	38	63	136	200	217	182	128	124	85	33	25	11	3	1	1	1	-
2020.2/4	용산구	한남동	계	23,969	707	768	672	739	1,127	2,007	2,297	2,524	2,005	1,999	1,840	1,854	1,688	1,185	922	742	479	223	119	39	33
2020.2/4	용산구	한남동	한국인	21,183	619	600	535	622	1,011	1,787	1,948	2,141	1,690	1,725	1,593	1,665	1,583	1,134	904	739	474	222	119	39	33
2020.2/4	용산구	한남동	외국인	2,786	88	168	137	117	116	220	349	383	315	274	247	189	105	51	18	3	5	1	-	-	-
2020.2/4	성동구	소계	계	304,851	10,677	10,716	9,451	11,698	21,926	26,578	24,872	26,339	22,453	24,470	24,791	24,306	21,569	14,677	11,381	9,244	5,715	2,594	911	239	244
2020.2/4	성동구	소계	한국인	297,397	10,526	10,583	9,379	11,422	20,171	25,458	24,125	25,757	22,006	24,013	24,214	23,677	21,240	14,571	11,341	9,231	5,707	2,588	910	237	241
2020.2/4	성동구	소계	외국인	7,454	151	133	72	276	1,755	1,120	747	582	447	457	577	629	329	106	40	13	8	6	1	2	3
2020.2/4	성동구	왕십리2동	계	17,668	641	619	552	712	1,128	1,526	1,507	1,557	1,288	1,464	1,439	1,428	1,234	864	668	519	295	144	44	19	20
2020.2/4	성동구	왕십리2동	한국인	17,288	628	613	546	702	1,065	1,479	1,463	1,521	1,261	1,434	1,399	1,395	1,215	863	664	518	295	144	44	19	20
2020.2/4	성동구	왕십리2동	외국인	380	13	6	6	10	63	47	44	36	27	30	40	33	19	1	4	1	-	-	-	-	-
2020.2/4	성동구	마장동	계	23,755	612	659	751	1,001	2,182	2,569	1,788	1,587	1,399	1,818	1,937	1,953	1,718	1,241	957	782	469	229	70	15	18
2020.2/4	성동구	마장동	한국인	23,094	599	653	746	984	2,006	2,453	1,711	1,545	1,360	1,781	1,883	1,903	1,698	1,235	956	781	469	228	70	15	18
2020.2/4	성동구	마장동	외국인	661	13	6	5	17	176	116	77	42	39	37	54	50	20	6	1	1	-	1	-	-	-
2020.2/4	성동구	사근동	계	13,511	224	221	235	712	3,226	2,579	1,054	733	532	637	700	619	538	408	391	368	220	66	31	5	12
2020.2/4	성동구	사근동	한국인	11,901	219	217	232	645	2,339	2,153	948	686	517	624	684	610	533	405	389	367	220	66	31	5	11
2020.2/4	성동구	사근동	외국인	1,610	5	4	3	67	887	426	106	47	15	13	16	9	5	3	2	1	-	-	-	-	1
2020.2/4	성동구	행당1동	계	14,827	481	551	453	605	1,106	1,395	1,227	1,204	1,109	1,143	1,218	1,193	1,027	665	528	455	263	127	50	19	8
2020.2/4	성동구	행당1동	한국인	14,473	478	543	451	593	984	1,343	1,190	1,189	1,089	1,130	1,198	1,160	1,012	664	528	455	262	127	50	19	8
2020.2/4	성동구	행당1동	외국인	354	3	8	2	12	122	52	37	15	20	13	20	33	15	1	-	-	1	-	-	-	-
2020.2/4	성동구	행당2동	계	24,441	897	999	1,069	1,148	1,526	1,537	1,816	1,987	1,980	2,257	2,108	1,850	1,552	1,156	973	768	492	206	78	20	22
2020.2/4	성동구	행당2동	한국인	24,349	896	998	1,066	1,144	1,514	1,530	1,802	1,980	1,967	2,246	2,101	1,843	1,550	1,156	973	768	490	206	78	20	21
2020.2/4	성동구	행당2동	외국인	92	1	1	3	4	12	7	14	7	13	11	7	7	2	-	-	-	2	-	-	-	1
2020.2/4	성동구	응봉동	계	15,952	521	691	924	809	918	869	988	1,318	1,359	1,647	1,328	1,123	947	743	630	566	332	162	56	13	8
2020.2/4	성동구	응봉동	한국인	15,887	520	689	924	808	911	866	981	1,306	1,350	1,639	1,320	1,118	946	742	630	566	332	162	56	13	8
2020.2/4	성동구	응봉동	외국인	65	1	2	-	1	7	3	7	12	9	8	8	5	1	1	-	-	-	-	-	-	-
2020.2/4	성동구	금호1가동	계	15,927	694	658	504	607	877	989	1,235	1,631	1,327	1,309	1,263	1,141	1,205	839	610	492	324	157	47	6	12
2020.2/4	성동구	금호1가동	한국인	15,830	693	654	501	606	873	980	1,222	1,619	1,318	1,295	1,259	1,132	1,197	838	605	492	324	157	47	6	12
2020.2/4	성동구	금호1가동	외국인	97	1	4	3	1	4	9	13	12	9	14	4	9	8	1	5	-	-	-	-	-	-
2020.2/4	성동구	금호4가동	계	15,016	733	679	536	454	664	926	1,255	1,576	1,357	1,303	1,129	1,050	1,063	731	600	468	288	145	35	15	9
2020.2/4	성동구	금호4가동	한국인	14,879	731	679	533	454	648	909	1,238	1,567	1,342	1,289	1,117	1,036	1,050	727	600	468	288	144	35	15	9
2020.2/4	성동구	금호4가동	외국인	137	2	-	3	-	16	17	17	9	15	14	12	14	13	4	-	-	-	1	-	-	-
2020.2/4	성동구	성수1가1동	계	17,038	559	521	515	677	1,107	1,534	1,582	1,469	1,146	1,367	1,590	1,519	1,305	784	528	401	258	122	37	8	9
2020.2/4	성동구	성수1가1동	한국인	16,714	548	511	510	671	1,083	1,496	1,536	1,425	1,122	1,341	1,550	1,493	1,291	778	526	401	258	121	37	8	8
2020.2/4	성동구	성수1가1동	외국인	324	11	10	5	6	24	38	46	44	24	26	40	26	14	6	2	-	-	1	-	-	1
2020.2/4	성동구	성수1가2동	계	14,163	409	415	438	541	939	1,363	1,417	1,220	1,059	1,142	1,128	1,069	1,089	628	489	403	250	103	36	11	14
2020.2/4	성동구	성수1가2동	한국인	13,824	393	407	434	538	903	1,311	1,368	1,177	1,040	1,124	1,103	1,033	1,066	624	488	402	250	103	36	10	14
2020.2/4	성동구	성수1가2동	외국인	339	16	8	4	3	36	52	49	43	19	18	25	36	23	4	1	1	-	-	-	1	-
2020.2/4	성동구	성수2가1동	계	17,567	457	472	408	556	975	1,518	1,450	1,334	1,172	1,380	1,519	1,885	1,610	1,025	711	541	314	156	54	16	14
2020.2/4	성동구	성수2가1동	한국인	16,944	443	453	405	550	943	1,476	1,394	1,268	1,118	1,304	1,446	1,785	1,549	1,013	704	540	314	156	54	15	14
2020.2/4	성동구	성수2가1동	외국인	623	14	19	3	6	32	42	56	66	54	76	73	100	61	12	7	1	-	-	-	1	-
