기간	자치구	연령별	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)
2015	종로구	20~24	11,732	82	13	-	11,637	5,825	24	11	-	5,790	5,907	58	2	-	5,847
2015	종로구	25~29	12,037	873	4	5	11,155	6,251	300	1	1	5,949	5,786	573	3	4	5,206
2015	종로구	30~34	10,784	3,694	13	61	7,016	5,589	1,683	5	18	3,883	5,195	2,011	8	43	3,133
2015	종로구	35~39	9,524	5,493	17	189	3,825	4,685	2,492	-	63	2,130	4,839	3,001	17	126	1,695
2015	종로구	40~44	11,756	7,890	71	623	3,172	5,805	3,759	22	231	1,793	5,951	4,131	49	392	1,379
2015	종로구	45~49	11,958	8,847	98	1,120	1,893	5,819	4,270	9	461	1,079	6,139	4,577	89	659	814
2015	종로구	50~54	12,053	9,451	377	1,092	1,133	6,069	4,913	58	420	678	5,984	4,538	319	672	455
2015	종로구	55~59	11,181	8,736	515	1,106	824	5,501	4,521	84	503	393	5,680	4,215	431	603	431
2015	종로구	60~64	8,547	6,538	881	597	531	4,194	3,517	76	243	358	4,353	3,021	805	354	173
2015	종로구	65~69	7,035	5,011	1,172	547	305	3,225	2,593	153	283	196	3,810	2,418	1,019	264	109
2015	종로구	70~74	6,344	4,141	1,723	285	195	2,857	2,406	225	124	102	3,487	1,735	1,498	161	93
2015	종로구	75~79	4,552	2,641	1,698	84	129	1,951	1,616	231	50	54	2,601	1,025	1,467	34	75
2015	종로구	80~84	2,532	1,144	1,278	31	79	964	755	186	13	10	1,568	389	1,092	18	69
2015	종로구	85세 이상	1,821	547	1,228	23	23	576	429	136	1	10	1,245	118	1,092	22	13
2015	중구	계	106,393	51,446	8,894	6,197	39,856	52,251	26,348	1,518	2,977	21,408	54,142	25,098	7,376	3,220	18,448
2015	중구	 15~19	5,817	-	-	-	5,817	2,707	-	-	-	2,707	3,110	-	-	-	3,110
2015	중구	20~24	8,212	61	2	4	8,145	4,090	10	-	-	4,080	4,122	51	2	4	4,065
2015	중구	25~29	9,271	915	2	14	8,340	4,720	245	1	-	4,474	4,551	670	1	14	3,866
2015	중구	30~34	10,396	4,190	5	92	6,109	5,356	1,795	5	24	3,532	5,040	2,395	-	68	2,577
2015	중구	35~39	9,183	5,416	14	141	3,612	4,709	2,550	5	39	2,115	4,474	2,866	9	102	1,497
2015	중구	40~44	9,257	5,678	58	657	2,864	4,852	2,862	15	295	1,680	4,405	2,816	43	362	1,184
2015	중구	45~49	9,007	5,803	157	971	2,076	4,585	2,852	50	405	1,278	4,422	2,951	107	566	798
2015	중구	50~54	9,630	6,661	410	1,270	1,289	4,799	3,381	82	517	819	4,831	3,280	328	753	470
2015	중구	55~59	10,028	7,379	696	1,215	738	4,943	3,802	140	600	401	5,085	3,577	556	615	337
2015	중구	60~64	7,506	5,515	875	803	313	3,654	2,871	143	458	182	3,852	2,644	732	345	131
2015	중구	65~69	6,041	3,983	1,288	550	220	2,901	2,268	241	331	61	3,140	1,715	1,047	219	159
2015	중구	70~74	5,041	2,908	1,664	320	149	2,285	1,738	298	208	41	2,756	1,170	1,366	112	108
2015	중구	75~79	3,636	1,824	1,567	134	111	1,559	1,168	287	84	20	2,077	656	1,280	50	91
2015	중구	80~84	1,989	799	1,135	8	47	670	543	113	6	8	1,319	256	1,022	2	39
2015	중구	85세 이상	1,379	314	1,021	18	26	421	263	138	10	10	958	51	883	8	16
2015	용산구	계	187,585	98,040	13,030	9,256	67,259	89,800	49,544	1,759	3,687	34,810	97,785	48,496	11,271	5,569	32,449
2015	용산구	 15~19	10,136	-	1	-	10,135	5,157	-	-	-	5,157	4,979	-	1	-	4,978
2015	용산구	20~24	13,262	112	1	-	13,149	6,123	27	-	-	6,096	7,139	85	1	-	7,053
2015	용산구	25~29	15,453	1,616	-	16	13,821	7,436	459	-	-	6,977	8,017	1,157	-	16	6,844
2015	용산구	30~34	18,808	7,618	-	194	10,996	9,361	3,271	-	72	6,018	9,447	4,347	-	122	4,978
2015	용산구	35~39	17,406	10,548	20	398	6,440	8,565	4,903	7	174	3,481	8,841	5,645	13	224	2,959
2015	용산구	40~44	18,270	12,091	86	1,152	4,941	9,259	5,980	15	376	2,888	9,011	6,111	71	776	2,053
2015	용산구	45~49	17,419	12,429	246	1,475	3,269	8,652	6,245	67	552	1,788	8,767	6,184	179	923	1,481
2015	용산구	50~54	16,944	12,770	583	1,850	1,741	8,241	6,448	95	722	976	8,703	6,322	488	1,128	765
2015	용산구	55~59	16,323	12,629	920	1,496	1,278	7,871	6,342	159	676	694	8,452	6,287	761	820	584
2015	용산구	60~64	12,268	9,250	1,172	1,225	621	5,802	4,782	170	509	341	6,466	4,468	1,002	716	280
2015	용산구	65~69	10,058	7,398	1,571	759	330	4,606	3,907	191	333	175	5,452	3,491	1,380	426	155
2015	용산구	70~74	8,660	5,772	2,215	411	262	3,916	3,309	276	192	139	4,744	2,463	1,939	219	123
2015	용산구	75~79	6,565	3,487	2,713	205	160	2,682	2,222	336	58	66	3,883	1,265	2,377	147	94
2015	용산구	80~84	3,617	1,685	1,829	33	70	1,397	1,160	217	16	4	2,220	525	1,612	17	66
2015	용산구	85세 이상	2,396	635	1,673	42	46	732	489	226	7	10	1,664	146	1,447	35	36
2015	성동구	계	251,484	133,368	15,150	12,021	90,945	124,307	67,815	1,941	4,980	49,571	127,177	65,553	13,209	7,041	41,374
2015	성동구	 15~19	14,366	6	-	-	14,360	7,260	6	-	-	7,254	7,106	-	-	-	7,106
2015	성동구	20~24	21,102	195	-	-	20,907	10,995	57	-	-	10,938	10,107	138	-	-	9,969
2015	성동구	25~29	22,795	2,303	-	22	20,470	11,503	635	-	6	10,862	11,292	1,668	-	16	9,608
2015	성동구	30~34	25,170	11,418	5	244	13,503	12,568	4,853	5	60	7,650	12,602	6,565	-	184	5,853
2015	성동구	35~39	23,828	15,407	30	636	7,755	12,231	7,558	6	191	4,476	11,597	7,849	24	445	3,279
2015	성동구	40~44	24,065	16,547	127	1,498	5,893	12,415	8,288	21	539	3,567	11,650	8,259	106	959	2,326
2015	성동구	45~49	22,729	16,795	323	2,068	3,543	11,470	8,358	31	908	2,173	11,259	8,437	292	1,160	1,370
2015	성동구	50~54	23,273	17,988	820	2,466	1,999	11,682	8,941	184	1,130	1,427	11,591	9,047	636	1,336	572
2015	성동구	55~59	22,183	17,560	1,207	2,082	1,334	10,892	9,111	159	876	746	11,291	8,449	1,048	1,206	588
2015	성동구	60~64	15,802	12,240	1,548	1,377	637	7,616	6,481	196	655	284	8,186	5,759	1,352	722	353
2015	성동구	65~69	12,511	9,310	2,107	842	252	5,891	5,147	305	328	111	6,620	4,163	1,802	514	141
2015	성동구	70~74	10,333	7,148	2,616	425	144	4,698	4,147	317	174	60	5,635	3,001	2,299	251	84
2015	성동구	75~79	7,128	4,087	2,729	244	68	3,019	2,581	329	91	18	4,109	1,506	2,400	153	50
2015	성동구	80~84	3,766	1,686	1,976	69	35	1,403	1,155	221	22	5	2,363	531	1,755	47	30
2015	성동구	85세 이상	2,433	678	1,662	48	45	664	497	167	-	-	1,769	181	1,495	48	45
2015	광진구	계	312,181	155,228	16,751	16,221	123,981	152,559	78,894	2,230	6,306	65,129	159,622	76,334	14,521	9,915	58,852
2015	광진구	 15~19	19,987	7	1	-	19,979	10,089	1	-	-	10,088	9,898	6	1	-	9,891
2015	광진구	20~24	29,610	299	8	14	29,289	14,592	108	4	14	14,466	15,018	191	4	-	14,823
2015	광진구	25~29	32,461	3,007	20	68	29,366	15,891	873	8	24	14,986	16,570	2,134	12	44	14,380
2015	광진구	30~34	33,240	13,090	13	325	19,812	16,733	5,918	11	82	10,722	16,507	7,172	2	243	9,090
2015	광진구	35~39	27,753	16,026	72	899	10,756	14,109	7,650	22	333	6,104	13,644	8,376	50	566	4,652
2015	광진구	40~44	28,589	19,982	203	1,891	6,513	14,171	9,719	21	689	3,742	14,418	10,263	182	1,202	2,771
2015	광진구	45~49	28,676	21,131	478	3,146	3,921	13,911	10,380	78	1,065	2,388	14,765	10,751	400	2,081	1,533
2015	광진구	50~54	27,925	21,285	976	3,517	2,147	13,687	10,688	143	1,411	1,445	14,238	10,597	833	2,106	702
2015	광진구	55~59	26,487	20,912	1,587	2,787	1,201	12,865	10,797	240	1,086	742	13,622	10,115	1,347	1,701	459
2015	광진구	60~64	18,935	14,925	1,874	1,679	457	9,171	7,972	268	702	229	9,764	6,953	1,606	977	228
2015	광진구	65~69	14,066	10,558	2,260	980	268	6,672	5,757	312	462	141	7,394	4,801	1,948	518	127
2015	광진구	70~74	10,864	7,446	2,751	593	74	5,259	4,637	339	269	14	5,605	2,809	2,412	324	60
2015	광진구	75~79	7,303	4,387	2,577	221	118	3,306	2,808	336	128	34	3,997	1,579	2,241	93	84
2015	광진구	80~84	3,780	1,511	2,157	87	25	1,390	1,083	263	29	15	2,390	428	1,894	58	10
2015	광진구	85세 이상	2,505	662	1,774	14	55	713	503	185	12	13	1,792	159	1,589	2	42
2015	동대문구	계	311,471	156,952	21,649	16,655	116,215	155,099	80,230	3,238	7,405	64,226	156,372	76,722	18,411	9,250	51,989
2015	동대문구	 15~19	18,690	27	4	1	18,658	9,309	1	1	1	9,306	9,381	26	3	-	9,352
2015	동대문구	20~24	29,699	303	8	18	29,370	14,875	127	3	12	14,733	14,824	176	5	6	14,637
2015	동대문구	25~29	28,587	2,631	22	95	25,839	15,665	855	19	59	14,732	12,922	1,776	3	36	11,107
2015	동대문구	30~34	28,426	11,460	8	227	16,731	14,531	4,842	7	103	9,579	13,895	6,618	1	124	7,152
2015	동대문구	35~39	26,624	16,547	33	797	9,247	13,764	7,923	1	320	5,520	12,860	8,624	32	477	3,727
2015	동대문구	40~44	27,677	18,628	160	1,997	6,892	14,438	9,150	34	787	4,467	13,239	9,478	126	1,210	2,425
2015	동대문구	45~49	26,476	19,404	346	2,589	4,137	13,376	9,457	88	1,094	2,737	13,100	9,947	258	1,495	1,400
2015	동대문구	50~54	26,792	20,375	989	3,248	2,180	13,474	10,436	146	1,381	1,511	13,318	9,939	843	1,867	669
2015	동대문구	55~59	27,261	20,792	1,843	3,069	1,557	13,209	10,434	414	1,422	939	14,052	10,358	1,429	1,647	618
2015	동대문구	60~64	21,558	16,398	2,286	2,099	775	10,341	8,671	351	946	373	11,217	7,727	1,935	1,153	402
2015	동대문구	65~69	17,424	12,570	3,224	1,186	444	8,362	7,021	465	660	216	9,062	5,549	2,759	526	228
2015	동대문구	70~74	14,358	9,508	3,801	870	179	6,652	5,650	514	419	69	7,706	3,858	3,287	451	110
2015	동대문구	75~79	9,693	5,461	3,814	319	99	4,278	3,604	507	151	16	5,415	1,857	3,307	168	83
2015	동대문구	80~84	5,144	2,119	2,835	120	70	1,940	1,475	393	50	22	3,204	644	2,442	70	48
2015	동대문구	85세 이상	3,062	729	2,276	20	37	885	584	295	-	6	2,177	145	1,981	20	31
2015	중랑구	계	352,356	182,391	25,240	24,512	120,213	174,392	93,049	3,925	10,277	67,141	177,964	89,342	21,315	14,235	53,072
2015	중랑구	 15~19	21,240	14	-	-	21,226	10,954	-	-	-	10,954	10,286	14	-	-	10,272
2015	중랑구	20~24	27,901	352	2	34	27,513	14,083	62	-	24	13,997	13,818	290	2	10	13,516
2015	중랑구	25~29	28,466	3,340	7	88	25,031	14,225	1,068	1	13	13,143	14,241	2,272	6	75	11,888
2015	중랑구	30~34	32,967	14,440	39	522	17,966	17,168	6,453	8	118	10,589	15,799	7,987	31	404	7,377
2015	중랑구	35~39	30,309	18,479	40	1,106	10,684	15,917	9,208	3	392	6,314	14,392	9,271	37	714	4,370
2015	중랑구	40~44	31,103	20,301	218	2,894	7,690	15,922	9,813	35	929	5,145	15,181	10,488	183	1,965	2,545
2015	중랑구	45~49	33,298	23,155	765	4,433	4,945	16,444	11,074	179	1,646	3,545	16,854	12,081	586	2,787	1,400
2015	중랑구	50~54	35,504	26,382	1,308	5,298	2,516	17,461	12,971	224	2,414	1,852	18,043	13,411	1,084	2,884	664
2015	중랑구	55~59	34,584	25,861	2,411	4,868	1,444	17,050	13,509	430	2,125	986	17,534	12,352	1,981	2,743	458
2015	중랑구	60~64	24,919	18,741	3,052	2,485	641	12,136	10,019	511	1,232	374	12,783	8,722	2,541	1,253	267
2015	중랑구	65~69	19,142	13,522	3,825	1,509	286	9,127	7,574	587	789	177	10,015	5,948	3,238	720	109
2015	중랑구	70~74	15,126	9,976	4,258	767	125	7,164	5,990	744	394	36	7,962	3,986	3,514	373	89
2015	중랑구	75~79	9,545	5,360	3,836	297	52	4,206	3,523	548	115	20	5,339	1,837	3,288	182	32
2015	중랑구	80~84	5,007	1,878	2,926	150	53	1,795	1,331	371	85	8	3,212	547	2,555	65	45
2015	중랑구	85세 이상	3,245	590	2,553	61	41	740	454	284	1	1	2,505	136	2,269	60	40
2015	성북구	계	389,212	209,222	25,253	17,439	137,298	187,671	105,982	3,290	6,829	71,570	201,541	103,240	21,963	10,610	65,728
2015	성북구	 15~19	25,438	31	5	5	25,397	12,473	13	3	5	12,452	12,965	18	2	-	12,945
2015	성북구	20~24	36,595	287	23	26	36,259	17,143	84	9	12	17,038	19,452	203	14	14	19,221
2015	성북구	25~29	32,460	3,286	21	74	29,079	16,550	1,059	15	56	15,420	15,910	2,227	6	18	13,659
2015	성북구	30~34	33,877	15,342	21	335	18,179	17,045	6,657	9	141	10,238	16,832	8,685	12	194	7,941
2015	성북구	35~39	33,790	22,543	99	842	10,306	16,748	10,429	24	264	6,031	17,042	12,114	75	578	4,275
2015	성북구	40~44	38,826	28,574	241	2,190	7,821	19,633	14,159	48	744	4,682	19,193	14,415	193	1,446	3,139
2015	성북구	45~49	35,924	27,911	490	3,156	4,367	17,945	13,928	106	1,147	2,764	17,979	13,983	384	2,009	1,603
2015	성북구	50~54	33,726	26,841	1,085	3,180	2,620	16,340	13,377	205	1,227	1,531	17,386	13,464	880	1,953	1,089
2015	성북구	55~59	33,481	27,060	1,878	3,023	1,520	15,866	13,710	198	1,167	791	17,615	13,350	1,680	1,856	729
2015	성북구	60~64	25,186	19,955	2,565	1,885	781	12,014	10,539	270	844	361	13,172	9,416	2,295	1,041	420
2015	성북구	65~69	20,400	14,907	3,661	1,408	424	9,240	7,978	421	682	159	11,160	6,929	3,240	726	265
2015	성북구	70~74	17,425	11,731	4,656	817	221	8,040	6,961	685	337	57	9,385	4,770	3,971	480	164
2015	성북구	75~79	11,993	7,125	4,325	366	177	5,178	4,441	553	149	35	6,815	2,684	3,772	217	142
2015	성북구	80~84	6,234	2,807	3,264	83	80	2,390	1,988	366	34	2	3,844	819	2,898	49	78
2015	성북구	85세 이상	3,857	822	2,919	49	67	1,066	659	378	20	9	2,791	163	2,541	29	58
2015	강북구	계	280,887	144,484	22,352	19,397	94,654	136,620	73,537	3,125	7,958	52,000	144,267	70,947	19,227	11,439	42,654
2015	강북구	 15~19	16,934	7	-	-	16,927	8,609	-	-	-	8,609	8,325	7	-	-	8,318
2015	강북구	20~24	21,496	363	1	25	21,107	10,628	103	1	13	10,511	10,868	260	-	12	10,596
2015	강북구	25~29	19,705	2,352	1	92	17,260	10,100	798	-	46	9,256	9,605	1,554	1	46	8,004
2015	강북구	30~34	23,832	9,259	17	330	14,226	12,412	3,977	1	76	8,358	11,420	5,282	16	254	5,868
2015	강북구	35~39	23,378	13,541	62	867	8,908	12,185	6,451	14	353	5,367	11,193	7,090	48	514	3,541
2015	강북구	40~44	26,261	16,436	201	2,326	7,298	13,530	8,273	34	741	4,482	12,731	8,163	167	1,585	2,816
2015	강북구	45~49	26,077	18,049	505	3,337	4,186	12,757	8,624	82	1,363	2,688	13,320	9,425	423	1,974	1,498
2015	강북구	50~54	25,897	18,908	1,048	3,764	2,177	12,431	9,244	187	1,557	1,443	13,466	9,664	861	2,207	734
2015	강북구	55~59	26,335	19,710	1,740	3,716	1,169	12,633	10,068	284	1,602	679	13,702	9,642	1,456	2,114	490
2015	강북구	60~64	20,673	15,251	2,616	2,196	610	9,564	7,779	488	963	334	11,109	7,472	2,128	1,233	276
2015	강북구	65~69	17,535	12,460	3,422	1,349	304	7,841	6,722	414	574	131	9,694	5,738	3,008	775	173
2015	강북구	70~74	15,177	9,842	4,279	834	222	6,873	5,824	549	418	82	8,304	4,018	3,730	416	140
2015	강북구	75~79	9,957	5,528	3,854	413	162	4,417	3,604	564	198	51	5,540	1,924	3,290	215	111
2015	강북구	80~84	4,705	2,027	2,493	119	66	1,837	1,492	297	47	1	2,868	535	2,196	72	65
2015	강북구	85세 이상	2,925	751	2,113	29	32	803	578	210	7	8	2,122	173	1,903	22	24
2015	도봉구	계	297,441	162,615	20,913	16,590	97,323	144,299	81,871	3,257	6,828	52,343	153,142	80,744	17,656	9,762	44,980
2015	도봉구	 15~19	20,145	13	1	-	20,131	10,182	-	-	-	10,182	9,963	13	1	-	9,949
2015	도봉구	20~24	24,087	316	1	16	23,754	11,861	118	-	1	11,742	12,226	198	1	15	12,012
2015	도봉구	25~29	21,873	2,402	12	62	19,397	11,100	698	10	20	10,372	10,773	1,704	2	42	9,025
2015	도봉구	30~34	24,568	11,220	31	276	13,041	12,579	4,807	15	101	7,656	11,989	6,413	16	175	5,385
2015	도봉구	35~39	23,901	15,339	56	862	7,644	12,053	7,217	10	325	4,501	11,848	8,122	46	537	3,143
2015	도봉구	40~44	27,079	19,479	158	1,862	5,580	13,427	9,268	33	628	3,498	13,652	10,211	125	1,234	2,082
2015	도봉구	45~49	28,684	21,582	511	3,037	3,554	13,786	10,362	78	1,140	2,206	14,898	11,220	433	1,897	1,348
2015	도봉구	50~54	29,376	23,244	838	3,258	2,036	14,072	11,394	175	1,284	1,219	15,304	11,850	663	1,974	817
2015	도봉구	55~59	29,592	23,550	1,721	3,222	1,099	14,137	11,959	298	1,345	535	15,455	11,591	1,423	1,877	564
2015	도봉구	60~64	21,456	16,743	2,246	2,001	466	10,489	8,968	380	953	188	10,967	7,775	1,866	1,048	278
2015	도봉구	65~69	15,863	11,721	2,817	985	340	7,666	6,585	426	485	170	8,197	5,136	2,391	500	170
2015	도봉구	70~74	13,186	8,713	3,786	565	122	6,168	5,147	674	309	38	7,018	3,566	3,112	256	84
2015	도봉구	75~79	9,226	5,402	3,443	261	120	3,978	3,311	503	138	26	5,248	2,091	2,940	123	94
2015	도봉구	80~84	5,070	2,123	2,794	125	28	1,847	1,461	324	60	2	3,223	662	2,470	65	26
2015	도봉구	85세 이상	3,335	768	2,498	58	11	954	576	331	39	8	2,381	192	2,167	19	3
2015	노원구	계	483,317	264,456	34,392	22,214	162,255	233,117	132,566	4,835	8,515	87,201	250,200	131,890	29,557	13,699	75,054
2015	노원구	 15~19	40,631	2	3	1	40,625	21,152	2	1	1	21,148	19,479	-	2	-	19,477
2015	노원구	20~24	42,338	304	14	13	42,007	22,041	89	6	-	21,946	20,297	215	8	13	20,061
2015	노원구	25~29	34,172	4,028	1	65	30,078	17,358	1,224	1	14	16,119	16,814	2,804	-	51	13,959
2015	노원구	30~34	39,146	19,440	38	288	19,380	19,441	8,494	16	120	10,811	19,705	10,946	22	168	8,569
2015	노원구	35~39	40,584	28,792	110	1,020	10,662	19,995	13,241	38	325	6,391	20,589	15,551	72	695	4,271
2015	노원구	40~44	49,124	38,113	335	2,587	8,089	23,214	17,615	46	906	4,647	25,910	20,498	289	1,681	3,442
2015	노원구	45~49	51,655	42,008	896	3,983	4,768	25,038	20,730	228	1,208	2,872	26,617	21,278	668	2,775	1,896
2015	노원구	50~54	46,241	37,178	1,845	4,644	2,574	22,571	18,941	316	1,850	1,464	23,670	18,237	1,529	2,794	1,110
2015	노원구	55~59	42,713	33,525	3,064	4,050	2,074	20,509	17,304	477	1,635	1,093	22,204	16,221	2,587	2,415	981
2015	노원구	60~64	30,198	23,344	3,517	2,471	866	14,274	12,394	491	1,009	380	15,924	10,950	3,026	1,462	486
2015	노원구	65~69	22,547	15,433	5,042	1,568	504	10,425	8,768	732	754	171	12,122	6,665	4,310	814	333
2015	노원구	70~74	17,853	10,999	5,574	923	357	7,817	6,448	818	461	90	10,036	4,551	4,756	462	267
2015	노원구	75~79	13,156	6,900	5,740	380	136	5,301	4,333	767	145	56	7,855	2,567	4,973	235	80
2015	노원구	80~84	7,782	3,127	4,429	137	89	2,580	2,024	490	57	9	5,202	1,103	3,939	80	80
2015	노원구	85세 이상	5,177	1,263	3,784	84	46	1,401	959	408	30	4	3,776	304	3,376	54	42
2015	은평구	계	413,163	222,151	29,039	23,394	138,579	199,401	112,275	3,947	8,747	74,432	213,762	109,876	25,092	14,647	64,147
2015	은평구	 15~19	26,830	1	4	-	26,825	13,642	1	-	-	13,641	13,188	-	4	-	13,184
2015	은평구	20~24	30,266	428	2	19	29,817	15,263	98	-	11	15,154	15,003	330	2	8	14,663
2015	은평구	25~29	30,434	3,946	16	66	26,406	14,717	1,272	-	1	13,444	15,717	2,674	16	65	12,962
2015	은평구	30~34	37,899	16,799	24	414	20,662	18,978	7,198	7	142	11,631	18,921	9,601	17	272	9,031
2015	은평구	35~39	38,375	24,012	121	1,103	13,139	19,273	11,219	38	319	7,697	19,102	12,793	83	784	5,442
2015	은평구	40~44	41,513	29,130	334	2,542	9,507	20,968	14,210	80	800	5,878	20,545	14,920	254	1,742	3,629
2015	은평구	45~49	38,988	29,280	628	4,189	4,891	19,014	14,403	105	1,627	2,879	19,974	14,877	523	2,562	2,012
2015	은평구	50~54	37,188	28,170	1,352	4,635	3,031	17,804	14,152	205	1,691	1,756	19,384	14,018	1,147	2,944	1,275
2015	은평구	55~59	37,697	28,875	2,299	4,595	1,928	17,825	14,506	384	1,754	1,181	19,872	14,369	1,915	2,841	747
2015	은평구	60~64	27,912	20,887	3,426	2,553	1,046	12,995	10,906	503	1,016	570	14,917	9,981	2,923	1,537	476
2015	은평구	65~69	23,175	16,507	4,345	1,697	626	10,641	9,035	561	740	305	12,534	7,472	3,784	957	321
2015	은평구	70~74	18,994	12,700	5,090	878	326	8,716	7,528	700	313	175	10,278	5,172	4,390	565	151
2015	은평구	75~79	13,114	7,605	4,787	526	196	5,784	4,876	535	276	97	7,330	2,729	4,252	250	99
2015	은평구	80~84	6,645	2,882	3,514	125	124	2,573	2,134	371	55	13	4,072	748	3,143	70	111
2015	은평구	85세 이상	4,133	929	3,097	52	55	1,208	737	458	2	11	2,925	192	2,639	50	44
2015	서대문구	계	265,026	133,548	18,391	12,710	100,377	126,776	67,764	2,327	5,032	51,653	138,250	65,784	16,064	7,678	48,724
2015	서대문구	 15~19	17,204	9	-	-	17,195	8,282	-	-	-	8,282	8,922	9	-	-	8,913
2015	서대문구	20~24	26,672	200	-	16	26,456	12,367	58	-	1	12,308	14,305	142	-	15	14,148
2015	서대문구	25~29	24,067	1,874	-	74	22,119	12,216	507	-	10	11,699	11,851	1,367	-	64	10,420
2015	서대문구	30~34	22,741	9,128	6	172	13,435	11,484	3,966	-	45	7,473	11,257	5,162	6	127	5,962
2015	서대문구	35~39	21,303	13,033	59	651	7,560	10,830	6,144	15	264	4,407	10,473	6,889	44	387	3,153
2015	서대문구	40~44	23,771	16,530	83	1,362	5,796	11,872	7,996	9	486	3,381	11,899	8,534	74	876	2,415
2015	서대문구	45~49	23,893	17,949	267	2,209	3,468	11,627	8,735	29	868	1,995	12,266	9,214	238	1,341	1,473
2015	서대문구	50~54	23,009	17,984	649	2,421	1,955	11,122	8,955	138	946	1,083	11,887	9,029	511	1,475	872
2015	서대문구	55~59	22,279	17,508	1,187	2,447	1,137	10,784	9,203	146	886	549	11,495	8,305	1,041	1,561	588
2015	서대문구	60~64	16,508	12,684	1,862	1,387	575	7,702	6,597	220	624	261	8,806	6,087	1,642	763	314
2015	서대문구	65~69	14,045	10,207	2,615	850	373	6,279	5,471	251	432	125	7,766	4,736	2,364	418	248
2015	서대문구	70~74	12,498	8,314	3,354	657	173	5,480	4,707	437	268	68	7,018	3,607	2,917	389	105
2015	서대문구	75~79	9,284	5,233	3,624	315	112	4,012	3,368	476	146	22	5,272	1,865	3,148	169	90
2015	서대문구	80~84	4,814	2,196	2,514	89	15	1,827	1,477	308	42	-	2,987	719	2,206	47	15
2015	서대문구	85세 이상	2,938	699	2,171	60	8	892	580	298	14	-	2,046	119	1,873	46	8
2015	마포구	계	323,869	166,442	20,057	14,193	123,177	154,021	83,386	2,717	5,480	62,438	169,848	83,056	17,340	8,713	60,739
2015	마포구	 15~19	18,248	6	-	-	18,242	9,273	-	-	-	9,273	8,975	6	-	-	8,969
2015	마포구	20~24	26,725	211	4	22	26,488	12,655	29	1	8	12,617	14,070	182	3	14	13,871
